1.06929e-1; 4.47771e-17
1.19801e-1; 5.97854e-17
1.34222e-1; 7.86819e-17
1.50379e-1; 1.01751e-16
1.68481e-1; 1.28295e-16
1.88762e-1; 1.57410e-16
2.11485e-1; 1.89040e-16
2.36942e-1; 2.21348e-16
2.65465e-1; 2.54178e-16
2.97420e-1; 2.84579e-16
3.33222e-1; 3.11256e-16
3.73334e-1; 3.33865e-16
4.18274e-1; 3.51894e-16
4.68625e-1; 3.67302e-16
5.25036e-1; 3.74526e-16
5.84602e-1; 3.80557e-16
6.59047e-1; 3.84880e-16
7.38380e-1; 3.87136e-16
8.27263e-1; 3.87136e-16
9.26846e-1; 3.87136e-16
1.03842e+0; 3.80408e-16
1.16342e+0; 3.74526e-16
1.30346e+0; 3.69454e-16
1.46037e+0; 3.58816e-16
1.63616e+0; 3.48484e-16
1.83311e+0; 3.35169e-16
2.07205e+0; 3.18262e-16
2.30100e+0; 3.01117e-16
2.57799e+0; 2.81821e-16
2.89806e+0; 2.64034e-16
3.23600e+0; 2.38354e-16
3.62553e+0; 2.20917e-16
4.06196e+0; 2.00806e-16
4.55092e+0; 1.80757e-16
5.09874e+0; 1.62710e-16
5.71251e+0; 1.44481e-16
6.40015e+0; 1.28295e-16
7.17058e+0; 1.13037e-16
8.03374e+0; 9.91428e-17
9.00081e+0; 8.67306e-17
1.00843e+1; 7.55283e-17
1.12982e+1; 6.56449e-17
1.26582e+1; 5.70548e-17
1.41820e+1; 4.91082e-17
1.58891e+1; 4.23508e-17
1.78018e+1; 3.63104e-17
1.99447e+1; 3.13751e-17
2.23456e+1; 2.67434e-17
2.50354e+1; 2.28845e-17
2.80491e+1; 1.95823e-17
3.14255e+1; 1.66915e-17
3.52084e+1; 1.41998e-17
3.94466e+1; 1.20331e-17
4.41950e+1; 1.03369e-17
4.95151e+1; 8.65786e-18
5.54755e+1; 7.39415e-18
6.21534e+1; 6.26588e-18
6.96351e+1; 5.33050e-18
7.80175e+1; 4.49956e-18
8.74089e+1; 3.82041e-18
9.49416e+1; 3.42827e-18
